Frame,Fish_ID,Center_X,Center_Y
3,1,298,27
3,2,166,365
3,3,194,44
4,1,291,26
4,2,169,358
5,1,292,27
5,3,194,44
6,1,296,27
6,3,194,44
7,1,298,25
7,3,194,43
8,3,194,41
10,4,227,323
11,4,227,324
12,4,229,323
13,4,229,324
14,4,229,324
15,4,230,324
16,4,230,323
27,4,224,319
